text;hatespeech
@abstrusivo heueheueheu eu fiquei achando que o branco era arroz tb mas não faço ideia (e olha que gosto de açaí);no
A Burra da mulher esqueceu o celular no ônibus e ta chorando aqui no busão queria não rir;yes
"Acaba de chegar a Redacao da Radio Angola a seguinte informacao:
Pedro Gonga: Já Estou em Liberdade, mas não foi... https://t.co/fkAShQaBVa";no
"Acabámos de adicionar mais uma data à tour de 'Overdose de Tourette':
11 Fev -  Covilhã.
Bilhetes aqui:
https://t.co/NeiqhncuJp";no
"Acabámos de adicionar mais uma data à Tour 'Overdose de Tourette':
24 Fev - Ericeira.
Bilhetes na FNAC e aqui: _ https://t.co/2zTqP5irCM";no
"Acabei de comemorar o dia Internacional da Mulher... lavando a louça!
#DiadaMulher";no
Acabei de fazer esses casos para minha cunhada vascarpim ..Minhas férias estão rendendo arte.  Rsss https://t.co/zK8yKtycfV;no
"Acabei de ouvir uma cigana dizer q 'os chineses são um povo sujo e sem higiene q vive e dorme em qualquer lado'.
O cliché morreu hj às 16h09";yes
"Acabei de ouvir um casal com rastas dizer isto:
'As pessoas passam por nós e dizem que cheiramos mal...pffff...elas é que cheiram a champô!'";no
acabei de pagar 20 reais em um carregador pq esqueci o meu. já começando o dia se sentindo a mulher mais burra do brasil;yes
Acabo de nomear o general H.R. McMaster como Conselheiro de Segurança Nacional. https://t.co/iEsaOS0yfG;no
A cada 'feliz dia da mulher menos pra feminista' eu vejo o quão burra é a sociedade;yes
A cadeira com o copo certamente é do lula https://t.co/cNGQ6nRgYy;yes
A caminho da Base Militar Andrews com o Primeiro Ministro Shinzo hoje mais cedo. https://t.co/0YAUn4dMKJ;no
"A campanha continua...#EducacaoSemIdeologiaDeGenero.
https://t.co/O6DVICQISp .Acesse e adquira dois livros de... https://t.co/0BvDHJMUm7";no
A CARA DA FEIA DA VIVIAN E DA GORDA DA ROBERTA SÃO AS MELHORES COISAS ESSE MOMENTO EH MEU #BBB17;yes
a cara da gorda feia da Roberta #bbb17;yes
"Acções do #PNR #Oeiras e #Cascais
https://t.co/dIjJz60vAO#RenovarPortugal #Portugal https://t.co/MuhqghYZTR";no
Aceitei trocar o Benfica por um jantar romântico com a minha namorada, desde que ela pagasse a gasolina. Amanhã, lá estarei na Catedral.;no
"ACEITE OS CHIFRES
#JoaquinResponde https://t.co/2wOKNG11RS";no
"A censura democrática é a pior delas todas porque é arbitrária, hipócrita e cobarde. Finge não existir, mas existe!
https://t.co/fdEjtgOx1P";no
Acham que ser BANDIDO é ser machista ? to entendendo a logica feminista agora. Toda atitude de bandido cometido por _ https://t.co/QwuTyA0KWB;no
achei essa pagina https://t.co/yoVjMs2Zz0;no
Achei um cabelo branco, sinto que os anos de tintura estão chegando.;no
acho engraçado que vcs falam mal do Ustra mas idolatram Che;no
"Acho irónico que uma mulher que ajudou a NASA a andar para a frente, esteja numa cadeira de rodas
#Oscars";yes
"Acho mal que não tenham metido a carreira da Bárbara Guimarães neste 'In memoriam'
#Oscars";no
Acho mó engraçado o galero que tenta chamar atenção fznd piadinha burra sobre o dia da mulher;no
Acho muito legal as feministas que compartilham coisa do quebrando o tabu e chamam as outras de gorda, feia e briga por macho, parabéns p vc;yes
Acho q a menina do restaurante da frente é sapatão kkkkkk fica me olhando;no
Acho que agora ela se perdeu de vez..Kkkkkkkkk que dó.... https://t.co/gt6t4iRyYv;no
Acho que a Morango tem um céu so pra ela rsrs @angelicamorango @biaibelieve Nossa, eu tô em Sampa! Aqui n B Vista tá nubladim e meio frio...;no
acho que a Simone depende mais do natal pra sobreviver que o Papai Noel;yes
Acho que a veja aceitou que realmente não faz jornalismo https://t.co/x6gmv70CuS;no
acho que meu sono resolveu desaparecer junto com o meu dinheiro, espero um dia tê-los de volta;no
acho que nem vou gozar mais até #ESeFosseConsigo;no
acho que o cara da redação do Enem deveria perder pontos pq não ficou claro o sabor do miojo;no
Acho que tatuagem colorida só fica bonito em gente muito branca!!!;no
Acho que vou... ai que preguiça de dormir... xerus!;no
Acho que vou pegar carona com a @agdabritto e mimir;no
ACHO RIDÍCULO, MAS RESPEITO, NÃO SOU HOMOFÓBICO https://t.co/gC4L1yJ1ls;yes
"'Acho seus argumentos ridículos, não mudarão minha opinião, mas eu não consegui refutar nem uma linha'
Resumo: 'Eu _ https://t.co/c3bWKt8lEx";no
"A cidade de Viseu já está preparada para nos receber na 5a feira.
Despachem-se a garantir a vossa presença.
Vai ser _ https://t.co/dPMZ8ppmrP";no
"A @cidade e a @sicradical são desde hoje,os nossos parceiros de media oficiais.
Isso significa conteúdos exclusivos _ https://t.co/DlkMFBCSk3";no
Acima de tudo, uma vitória esmagadora da classe https://t.co/s9lvC87ILS;no
08:41 #ações_preventivas local Castelo Branco, Centro, #Abelardo_Luz, descrição: atividade tecnica (vistorias);no
A coisa q mais me da odio na vida é mulher machista. Qnd escuto alguma falando merda fico com mt abuso - pq odeio gnt burra e ignorante tb;yes
A Comissão Europeia afirmou que não hesitará em aplicar sanções contra os países que se recusam a receber... https://t.co/8h6HFv3dIj;no
Acompanhe minhas agendas sobre Ideologia de Gênero, em todo País. https://t.co/9ge0LwyJZg;no
Acorda pra trabalhar ae cambada de vagabundo;yes
Acordar e ler uma notícia dessas.Isso não é mãe é um monstro. Que inversão de valores meu Deus. https://t.co/PqDNEmYu1J;no
@AcordouAcordou quer defender os amigos BANDIDOS e CORRUPTOS do partido. Como podemos aceitar isso sem ficar P da v _ https://t.co/4uh8VS30YN;yes
A corrida pela liderança do CND foi obviamente 'armação'. A escolha de Bernie, como ele próprio, nunca teve chance. _ https://t.co/K1Je1TMVPv;no
a cota de negro aumentou nesse BBB né;yes
"A CP está a recrutar revisores e um dos requisitos é saber falar espanhol.
Talvez fosse mais importante contratar pessoas que saibam crioulo";yes
Acredite se quiser: Existe agora 'agefluid' - faz parte da ideologia de gênero provavelmente - que faz parte do ati _ https://t.co/B2YNzJmzTk;no
A @crfjaque prova: não importa se Jair não é preconceituoso. É apenas + 1a q se enquadra na moda atual de difama-lo _ https://t.co/W67nzOsYsn;yes
A CRIMEIA foi ocupada pela Rússia durante o governo Obama. Será que Obama foi muito bonzinho com a Rússia? https://t.co/zQowSdLe9r;yes
ACTUALMENTE AQUELE RETARDADO QUE DEITOU NUMA BANHEIRA DE NUTELA #JOAQUINRESPONDE https://t.co/JdCLqC5zmY;yes
a culpa do brasil estar do jeito que tá é única e exclusivamente da dilma;no
A culpa é das estrelas vermelhas https://t.co/5R8Thlv1b8;no
A culpa é de não ter tirado antes;no
"Acusações de estupro, assédio ou agressão podem arruinar a vida de um homem'.
Ata. https://t.co/4jdeA8hRcO";no
@AdemirAlvim eu tenho conhecimento dessa doutrinação nas escolas... Uma triste realidade no Brasil e no mundo!;yes
"@AdemirAlvim vdd... nem conheci mas já dei block.... 
pessoa assim quero longe";no
Ades patrocina nova versão da Branca de Neve http://t.co/vWxZjXNw4y;no
"Adeus #Obama! 
'Faça boa viagem!'. https://t.co/B0CASUcZtH";no
Adicionei um vídeo a uma lista de reprodução do @YouTube https://t.co/tUcZqbRpPN Angola & China vs EUA (A verdade que você não;no
Adicionei um vídeo a uma playlist @YouTube https://t.co/7hLCvlxwOz 'Islão não é para mim';yes
A diferença de quem tem vergonha na cara vs vagabundo https://t.co/mi282DMTSe;no
A diferença entre os Tribunais e as Comissões Parlamentares é que nestas últimas, como não há pobres, nunca há ninguém para condenar...;no
@adiosiago @amandassini eu acho o msm sobre vc branquelo;yes
@adiosiago @amandassini quando branco acha que racismo é coitadismo só me dá mais vontade de continuar com o perfil;yes
@adiosiago @amandassini vc quer q eu te chame de q? palmito?;no
Adivinha qual a esquerda demoniza e qual a esquerda apoia? https://t.co/lmknzzuwLo;no
adorando essa cerimônia, só nao to entendendo esses monte de país subdesenvolvido no meu estádio;no
Adoro essa energia daqui. Não gosto de lembrar que vou trabalhar no feriado. Mas, gosto de ter emprego. Então tá ótimo.. rs.;no
Adoro essa frase: 'Viva os loucos, os normais estão acabando com o mundo' #fikdik rs...;no
Adoro estes católicos que se lembram da bíblia e Deus quando é para serem homofóbicos mas depois só o Islão é que é religião de violência;yes
ADQUIRA AGORA o livro 'A IDEOLOGIA DE GÊNERO NA EDUCAÇÃO - Como esta doutrinação está sendo introduzida nas... https://t.co/emXSsysshG;no
Adquira seu cupom pra dar pro clube do macho. Antes eram 4hs de chibata, agora são 8!! #BlackFriday;no
"Advogado e Deputado? Não pode ser!
https://t.co/UxhKlE2Ks0#PNR #RenovarPortugal #Portugal";no
Advogados ABANDONAM a tal moça que acusou Feliciano de abuso...Agora a tal moça,ataca outros deputado, procurador... https://t.co/O9WcUD3wU4;no
A e antes de voltar ao mais importante e abrir a minha cerveja matinal: Foda-se !;no
#AecioMaisCItadoQue Bolsonaro em discussão sobre idiotas e homofobia :D;no
"aeeeee dilma caiu
ja posso viajar pra miami agora?";no
"A Emma Stone podia ir vestida de saco de lixo rodeado de sacos do lixo dentro de um camião de lixo, que nunca estaria mal
#Oscars";no
A entrevista mais longa do Super Bowl com @oreillyfactor hoje à noite às 8:00 PM (0:00 [BR]). Divirta-se! https://t.co/2wVSIjP7oI;no
A era em que 'homens' começam a usar cor de rosa https://t.co/3Cfl9aoHmO;yes
Aeroporto Mário Soares só faria sentido se fosse na Ota ou em Macau...;no
A esquerda é assim, lamenta a morte de bandidos mas diz 'matou pouco' pra genocidas. Depois do 'Stalin matou foi po _ https://t.co/g2rItoeyTF;yes
A esquerda em uma palavra? Sujeira. Defendem uma ideologia sanguinária e culpam um sistema que eles mesmo usam. São _ https://t.co/d44ggIe2zI;yes
"A Esquerda é o próprio Zumbi dos Palmares:
Quer libertar os negros de uma escravidão pra escraviza-los em outra https://t.co/c1XOaNIPmI";yes
A esquerda está morrendo de um Câncer terminal https://t.co/qcH8FkSNKh;yes
A esquerda fala muito sobre essas rebeliões e justificam a 'superlotação', mas não fala do motivo que fizeram eles irem pras prisões.;no
A esquerda faz um monte de merda e a gente é obrigado a ver a mídia chamando a direita de extrema ...;no
A esquerda filha da puta como sempre https://t.co/CbHw2V9dOB;yes
A esquerda gosta de viver na sujeira, gosta do feio e idolatra a burrice. Pichação não é arte, é coisa de vagabundo _ https://t.co/pRkOnzBSTQ;no
A esquerda inventa o problema, incute na cabeça das pessoas que o problema existe, repete a mentira até que acredit _ https://t.co/v9m5h7Gc6z;no
A esquerdalha #comunista e #anarquista sempre foi, é, e será uma escumalha selvagem, carregada de ódio e violência _ https://t.co/AwYQKfgj35;no
"A esquerdalha (protegida pelo sistema e pelos media), no seu melhor, a mostrar a tolerância que defende.
#Nantes _ https://t.co/tMqoRAsR5x";yes
"A esquerda reclama das coisas inventadas pela própria esquerda:
Racismo, homofobia, machismo, nazismo, cultura de estupro e luta de classes.";no
"A  ética da imprensa regional contrasta com o cartel da comunicação social de alcance nacional.
Felicito o _ https://t.co/Y7oD6CcInV";no
A Europa, muito doente e submissa a estes espectáculos de mariquice nojenta, claro que se torna presa fácil do Islã _ https://t.co/BIAymMELN1;yes
A fdp não come carne e quer q vc tb não coma. Chupar meu pau ela não quer;yes
"6a feira é dia de 'Overdose de Tourette'.
E hoje a caravana pára na ERICEIRA.
Auditório Jaime Lobo e Silva, 22h.
Is _ https://t.co/CrTfw7LA9h";no
A feminazi @lolaescreva tem a cara de pau de pedir dinheiro em seu blog - mesmo ganhando uma boquinha de 11 mil - v _ https://t.co/XH24MvyqxB;yes
a feminista pode até dar a alma dela no primeiro encontro, mas por favor  #usecamisinha , seja uma puta consciente!;yes
"A @FernandaLimaBah e seu programa de sexo acham um absurdo as famílias não falarem abertamente de sexo em casa. 
Até pq ela certamente...";no
A Festa do Branco é um evento que promete marcar  o Cruzeiro Diamantes 2017. Aqui estão algumas inspirações: _ https://t.co/sZyln0lwQt;no
Afffffff só por Deus eu te que fica olhando a funça da atual dá minha ex;yes
Afff... N te dou mais nada http://t.co/hyBYnjtrab;no
aff pq vc pinta o cabelo........td mundo sabe q vermelho e loiro só fica bom em tom de pele clara;yes
Aff só por que não tem negro no oscar agora eles sao racista........ pfvr miga melhore;no
"Afinal a Constituição da República feita por estes senhores, serve para quê? É para ser violada?
https://t.co/JuaODQaZmS";yes
afinal, a privatização do ensino médio/superior brasileiro e o fim dos projetos sociais que ajudam milhões é o que vai levantar o país;yes
AFINAL O TIME DO PRESÍDIO PRECISA DE GOLEIRO... https://t.co/wPxhSyvGDK;no
"A força do sonho @jpintocoelho60 
https://t.co/4jGTaKM9gQ";no
A forma como você se vê não altera o que você é de fato! https://t.co/F1vbtmfKGs;no
@agdabritto Ixi, amiga.. marron.. marromenos.. termino de namoro, foda ne;no
@agdabritto Nem eu, amiga.. nem eu. e como ela diz: #eavidasegue;no
@agdabritto ooowwww, amorrr, ja chegou???;no
@agdabritto Quero saber tudooo como foi o diaaaa!;no
@agdabritto Sei lá, inventei agora.. #catita hahaha;no
@Agenda #Abril. Seminário sobre Ideologia de Gênero.(Com certificado) 08 e 09 Abril. #Ariquemes/RO. https://t.co/9FWPfwGNRv;no
"Agenda actualizada para os próximos meses:
https://t.co/vvezwg8Gx2";no
"#Agenda 11,12 e13 de Março/SP. #CongressoEvangelizarKids Informações:
Igreja Batista do Povo, _ https://t.co/vpReD2R1W1";no
#AgendaMaio  Palestra sobre identidade de gênero.(Ideologia de Gênero) #SãoLuizMaranhão https://t.co/6dWIFPYWkN;no
"#Agenda Março 18 e 19.
 Simpósio sobre Ideologia de Gênero.";no
Agenda Março . Ideologia de Gênero. https://t.co/vhpKZjqQJD;yes
"Agenda para os próximos tempos.
Bilhetes na FNAC e Ticketline https://t.co/IBtRKfrgJD";no
Agenda #SãoPaulo 11/03. Congresso Evangelizar KIDS. Igreja Batista do Povo. https://t.co/4nSFGR5Fal;no
Agendas dias 18 e 19 de Março em #Campinas/SP. Simpósio de Ideologia De Genero e Cultos familiar.;no
"Agende seminário ou palestras para liderança, jovens e igreja geral sobre Ideologia de Gênero. 
Com 5 livros... https://t.co/XmSL8gDa8l";no
a gente mulher e um ser humano mais burra acreditar que ainda possa.  ter amor verdadeiro;no
a gente nao sabe se a mulher ta feliz de burca, nao sabe se é tranquilo p travesti ta com aquela roupa etc etc etc;no
@AgenteRusso o cara que escolhe foto é muito fanfarrão;no
A @gleisi fazer greve...não trabalhar..É um alívio para o BRASIL... já que ela só faz atrapalhar o país mesmo. Devo _ https://t.co/EzKOlbn8YF;yes
A globo mentiu para o futebol feminino. E a mulherada, como sempre iludida, acredita. Tudo normal;yes
A #globo só mostra as 'belezas e o amor' do carnaval.Mas, se quer saber a verdade, liga na @recordtvoficial que está mostrando tda Violência;no
"A Gloria Alvarez arrebenta!
O discurso dela na CPAC 2016 foi sensacional! 
https://t.co/FVD2M4GBye";no
"@agnaldoregojr 
2) O fato de o cidadão de bem passar a portar uma arma não o transformará em bandido.
Crime é questão de índole!";no
Agora deu 'tilt' no @Ricamconsult , a AMEBA que teve a cara de pau de comparar Trump com Hugo Chavez. https://t.co/G24QMKa7Be;yes
agora é oficial: os dinossauros estão extintos;no
Agora é só umas gordas feias pra caralho;yes
Agora não entendo mais nada branco não pode namorar com negra ? Ue ? Mais vão termina o colégio e pega uma vaga no Mac!!! Valeu;yes
Agora os novos refugiados já não são por causa da guerra, são até chamados 'refugiados económicos ', como sempre foram, não fugiram de nada;no
Agora pareço aqueles gajos que se viram para as fufas e dizem que ela são fufas pq nunca experimentaram pila (????????) Lol;yes
agora que a dilma vai sair quem assume é o aécio né??;no
... Agora refugiados com uma ideologia e Cultura completamente INCOMPATÍVEIS com as nossas, aí não tem como mesmo!;yes
agora sim esse latinos imundos vão parar de tentar entrar nos EUA #Trump;yes
Agora sim está correto @pecesiqueira abraço #paz https://t.co/DUoMBeWwqu;no
AGORA SIM EU ASSUMO http://t.co/UzOwKrxdOy;no
Agora sim @homemdeverdade pode usar perfume - http://www.youtube.com/watch?v=_wx6DP99bYE;no
Agora sim LISBOA, estamos prontos para começar https://t.co/JJdLm8R2oO;no
Agora tá na moda colocar a culpa nos países do OM. Não se engane e aos outros.Quem produziu REFUGIADOS foram EUA e OTAN @AbrahoCavalcant.;no
agora tudo é apropriação cultural não pode nem usar turbante mais;no
agora tudo faz sentido https://t.co/gAkF8IbNea;no
Agora vc pensa: Uma cidadã que não cuida da sua própria filha querer impor em sala de aula o que deve ser ensinado ao meu filho? Um absurdo.;yes
"Agradece-se esse empurrão vindo do outro lado do Atlântico para dar o golpe de misericórdia na famigerada @uniao_europeia 
#BREXIT #PEXIT";no
A grande imprensa e a população esquerdista mostram o quão democráticos são ao sequer deixar Trump COMEÇAR a trabalhar!;no
A grande questão aqui é por que há tantos furos ilegais vindo de Washington? Haverão estes furos quando eu negociar _ https://t.co/VWfbJSbcoR;no
"A greve dos Estivadores
https://t.co/EcYwmGj8Aq#RenovarPortugal #PNR";no
"Aguarela com muitos anos.
#Salazar https://t.co/n00XTL4AiC";no
água ser essencial é coisa de maricas. Cerveja é essencial !;yes
ahahaha ..as musas de direita destroem qualquer petista, como a gleisi hoffman https://t.co/1eHxXa6cNB;no
A hipocrisia esquerdista em sua mais alta essência aqui. Somos nós que temos ódio @fernandaemelo? VAI DAÍ PORRA https://t.co/Rchflhftvg;yes
ah lá o filho do porteiro passou no enem;no
'ah mas artista tal eh gorda, ela eh feia. tem tanto dinheiro e n melhora' TE FODE GAROTA NÃO EH PQ ELA EH FAMOSA Q ELA TEM Q SER PERFEITA;yes
Ah, o perigo do Islão, e tal, e a civilização europeia, e não sei quê. https://t.co/GBJPgWqhYO;no
Ah, porque o nacionalismo deste gajo é económico e é tão económico quanto o do PCP. Com a diferença de o PCP não querer Angola de volta.;no
Ah, valente! E para a mortalidade infantil em Angola, não vai nada, oh isabel? https://t.co/q7yFNtpRVC;no
"'Ah você não tem dó dos presidiários'
Deles não tenho mesmo não, tenho das vítimas que fazem.";no
A identidade não se vende https://t.co/0FBKzmmuCV;no
A ideologia de gênero chegou no seu mais alto grau de insanidade. Qual é sua identidade de gênero? ALIENÍGENA..OK... https://t.co/FGLJ5hbm68;no
~ Ai, fiz 1 piada sexista e machista mas não sou nada disso, vc que é burra e não tem senso de humor ~ FELIZ DIA DA MULHER;yes
"“ai, luigi, mas vc ta militando? q saco”
.
pois é pq eu entendo os privilégios que eu tenho por ter nascido homem branco";yes
"A imagem que define o que são esquerda e direita:
Esquerda = vagabundo mascarado.
Direita = patriota com a bandeir _ https://t.co/yDs4P8MdA4";yes
Ai meu deus como é bom ser vida loka;no
"A imprensa sempre do lado dos bandidos. 
Pra quem ainda tinha alguma dúvida:
https://t.co/k541HxiCN3";no
"Aí não é ''suspeito'', né seus VAGABUNDOS!?!! É 'comprovado'. 
Mas se for bandido ATIRANDO contra PM em carro ROUB _ https://t.co/aj3PkB9oBH";yes
Ainda a propósito do @sosracismo e afins, aqui ficam palavras alguém do próprio sistema: Pacheco Pereira. _ https://t.co/jQQD7yyJOu;yes
"Ainda bem q ontem a FIFA n atribuiu o prémio 'fair-play' à Chapecoense.
Temos de parar de premiar equipas cujos jogadores se atiram p o chão";no
ainda bem que eu sou sapatão e não preciso disso;no
ainda bem que o crivella ganhou, imagina só o rio com droga legalizada, sem PM e aborto liberado???;no
Ainda bem que o STF soltou o goleiro BRUNO.. agora sabemos a FALTA de moral que tem.... caso do Bolsonaro é mais uma piada do STF #vergonha;no
"ainda bem que o trump ganhou imagina só o mundo sem nenhuma guerra e preconceito???? nossa muito chato 
NÓS QUER É BOMBA NA COREIA";no
ainda estou surpreendida com a cara de sapatão dessa camilinha https://t.co/yGYxHrvIl8;yes
Ainda não acredito que não estarei em #Recife dia 24/07 no #oquartosecreto com a @angelicamorango. Serio! Saco! #boloderolofeelings;no
ainda que eu falasse a lingua dos homens e dos anjos, usaria ambas pra denegrir sua imagem;no
"ainda tem tráfico pq tem gente que compra
se a compra voltasse a ser crime tudo estaria em harmonia";no
'ain mas de repente nem foi assim'. Mano, pq vcs acham q eu postei isso sem ler o texto? É um apelo à meritocracia q nem diz o título.;no
- 'Ain o Dória está indo bem nesse últimos 2 meses,se ele candidatar para presidente pelo PSDB em 2018 votaria nele _ https://t.co/0Y3fFPk7Bm;no
A internet é nossa! As Feministas/e cia infiltradas nos órgãos da Justiça buscam combater essa crescente por meio da censura via justiça.;yes
A intoxicação e mariquice mental da ditadura do relativismo anulam os valores e enfraquecem as vontades. Depois são _ https://t.co/qva99FyYk9;no
Ai q gostoso a Cléo Pires fumando um e publicando na NET pq o privilégio branco e de classe eh tão lindo *_* https://t.co/fXQslfyu57;no
ai que saudade da ditadura............;yes
ai socorro jesus deixa essa mulher no programa por favor só pra gente ouvir ela botar conceitos físicos na cozinha #MasterChefBR;no
ai tem muito preto no bbb nem vo assistir kkk;yes
Aí #TheWalkingDead deixa de ser sobre zumbis e vira jogos mortais;no
Ai vc chega no colegio super cansada do trabalho e curso e encontra o grupinho das sapatao falando de ex. Se uma coisa que sapatao tem é ex.;yes
A @jublackpower é sensacional!;no
@ajulysantos e era de direita.... essa menina tem transtorno de personalidade ou algo pior...;no
@ajulysantos isso! A mulher não precisa ser obrigatoriamente feminista para ser mulher , porque a maioria não comp _ https://t.co/8NjZxoMtV5;no
@ajulysantos isso é coisa de seres humanos!;no
@ajulysantos Ju, você tá mais corada! Andou pegando uma praia!!!;no
@ajulysantos me senti segura nesse dia  https://t.co/UzcdIOTIYc;no
@ajulysantos nao esqueça que ele quer receber refugiados de guerra, vai islamizar o brasil;yes
@ajulysantos Novo filme: 'O Curioso Caso de Quem Sempre Atacou A Igreja Católica e o Cristianismo Mas Agora Defende o Papa Francisco';no
@ajulysantos Pra ser mulher hoje em dia e aguentar o movimento feminista...tem que ser muito macho. kkkkk;yes
@ajulysantos que nada, aqui na quebrada a molecada é arisca hahahahaha;no
@ajulysantos que não é caso da brasileira..porque com 5 kg de cocaína..é o peso de um bulldogue frances;no
"A Justiça tem que estar ao serviço de todos e não à mercê de privilégios de uns quantos.
@govpt @antoniocostapm 
https://t.co/s4IjrxP8vM";yes
"ALÔ FEMINISTA:
ATÉ A PORTELA VOLTOU
E O SEU PAI NADA";yes
"ALÔ FEMINISTAS
ATÉ #JesusEstáVoltando
E O SEU PAI NÃO";yes
